Reference genome	Start	End	Gene
NC_017022	1	1335	EFAU004_00001
NC_017022	1533	2663	EFAU004_00002
NC_017022	3121	4245	EFAU004_00004
NC_017022	4242	6188	EFAU004_00005
NC_017022	6208	8679	EFAU004_00006
NC_017022	8915	9214	EFAU004_00007
NC_017022	9264	9776	EFAU004_00008
NC_017022	9802	10038	EFAU004_00009
NC_017022	10056	10160	EFAU004_00010
NC_017022	13047	14507	EFAU004_00015
NC_017022	14513	14965	EFAU004_00016
NC_017022	15239	16606	EFAU004_00017
NC_017022	17386	18678	EFAU004_00018
NC_017022	22355	23218	EFAU004_00022
NC_017022	23347	24969	EFAU004_00023
NC_017022	25218	25739	EFAU004_00024
NC_017022	25925	27655	EFAU004_00025
NC_017022	74484	76049	EFAU004_00073
NC_017022	76108	77031	EFAU004_00074
NC_017022	77227	77832	EFAU004_00075
NC_017022	78140	79156	EFAU004_00076
NC_017022	79297	80598	EFAU004_00077
NC_017022	80644	81306	EFAU004_00078
NC_017022	81327	81725	EFAU004_00079
NC_017022	81791	82873	EFAU004_00080
NC_017022	83085	84647	EFAU004_00081
NC_017022	85773	86729	EFAU004_00083
NC_017022	86828	87994	EFAU004_00084
NC_017022	88018	88836	EFAU004_00085
NC_017022	88853	89560	EFAU004_00086
NC_017022	89858	90544	EFAU004_00087
NC_017022	90716	91297	EFAU004_00088
NC_017022	91430	92113	EFAU004_00089
NC_017022	92432	92845	EFAU004_00090
NC_017022	92929	93399	EFAU004_00091
NC_017022	93493	95580	EFAU004_00092
NC_017022	95752	96939	EFAU004_00093
NC_017022	97346	97654	EFAU004_00094
NC_017022	98342	98965	EFAU004_00096
NC_017022	98965	99255	EFAU004_00097
NC_017022	99294	100127	EFAU004_00098
NC_017022	100170	100448	EFAU004_00099
NC_017022	100471	100818	EFAU004_00100
NC_017022	100832	101488	EFAU004_00101
NC_017022	101491	101925	EFAU004_00102
NC_017022	102128	102394	EFAU004_00104
NC_017022	102452	102820	EFAU004_00105
NC_017022	102857	103165	EFAU004_00106
NC_017022	103193	103732	EFAU004_00107
NC_017022	103751	103936	EFAU004_00108
NC_017022	103972	104370	EFAU004_00109
NC_017022	104402	104938	EFAU004_00110
NC_017022	105099	105455	EFAU004_00111
NC_017022	105476	105976	EFAU004_00112
NC_017022	105991	106170	EFAU004_00113
NC_017022	106214	106654	EFAU004_00114
NC_017022	106654	107949	EFAU004_00115
NC_017022	108011	108658	EFAU004_00116
NC_017022	108849	109067	EFAU004_00117
NC_017022	109100	109216	EFAU004_00118
NC_017022	109234	109599	EFAU004_00119
NC_017022	109627	110016	EFAU004_00120
NC_017022	110096	111034	EFAU004_00121
NC_017022	111062	111442	EFAU004_00122
NC_017022	112529	113398	EFAU004_00124
NC_017022	114388	115134	EFAU004_00126
NC_017022	115467	118136	EFAU004_00127
NC_017022	118374	118562	EFAU004_00128
NC_017022	118832	119194	EFAU004_00129
NC_017022	119246	120928	EFAU004_00130
NC_017022	121045	123081	EFAU004_00131
NC_017022	123130	124131	EFAU004_00132
NC_017022	124253	124495	EFAU004_00133
NC_017022	124763	125767	EFAU004_00134
NC_017022	125768	126712	EFAU004_00135
NC_017022	126712	127674	EFAU004_00136
NC_017022	127701	128615	EFAU004_00137
NC_017022	128641	130422	EFAU004_00138
NC_017022	130770	131456	EFAU004_00139
NC_017022	131476	135057	EFAU004_00140
NC_017022	135066	135875	EFAU004_00141
NC_017022	135886	136884	EFAU004_00142
NC_017022	137071	139338	EFAU004_00143
NC_017022	139427	139879	EFAU004_00144
NC_017022	140972	141931	EFAU004_00146
NC_017022	141928	142683	EFAU004_00147
NC_017022	142706	143659	EFAU004_00148
NC_017022	144954	145310	EFAU004_00151
NC_017022	145320	146219	EFAU004_00152
NC_017022	155131	155865	EFAU004_00162
NC_017022	156595	157296	EFAU004_00164
NC_017022	157296	158882	EFAU004_00165
NC_017022	158901	159122	EFAU004_00166
NC_017022	159119	159880	EFAU004_00167
NC_017022	160260	160769	EFAU004_00168
NC_017022	160844	161383	EFAU004_00169
NC_017022	161523	162134	EFAU004_00170
NC_017022	162450	163247	EFAU004_00171
NC_017022	163275	163910	EFAU004_00172
NC_017022	163930	164703	EFAU004_00173
NC_017022	165111	165908	EFAU004_00174
NC_017022	166283	168928	EFAU004_00176
NC_017022	168946	171054	EFAU004_00177
NC_017022	171076	171636	EFAU004_00178
NC_017022	171721	173709	EFAU004_00179
NC_017022	173932	174645	EFAU004_00180
NC_017022	174722	175168	EFAU004_00181
NC_017022	175338	175940	EFAU004_00182
NC_017022	175953	176954	EFAU004_00183
NC_017022	176983	177561	EFAU004_00184
NC_017022	177613	178095	EFAU004_00185
NC_017022	178212	178586	EFAU004_00186
NC_017022	180548	181900	EFAU004_00188
NC_017022	182765	184114	EFAU004_00190
NC_017022	184282	185022	EFAU004_00191
NC_017022	185035	186627	EFAU004_00192
NC_017022	186666	186857	EFAU004_00193
NC_017022	187195	187491	EFAU004_00194
NC_017022	188385	189227	EFAU004_00196
NC_017022	189230	189751	EFAU004_00197
NC_017022	190004	190567	EFAU004_00198
NC_017022	190818	191087	EFAU004_00199
NC_017022	191275	193401	EFAU004_00200
NC_017022	193911	194177	EFAU004_00201
NC_017022	194321	196312	EFAU004_00202
NC_017022	196542	197843	EFAU004_00203
NC_017022	197973	199343	EFAU004_00204
NC_017022	199525	199848	EFAU004_00205
NC_017022	200173	200778	EFAU004_00206
NC_017022	201108	201824	EFAU004_00207
NC_017022	202616	203245	EFAU004_00209
NC_017022	205169	205771	EFAU004_00211
NC_017022	206603	207976	EFAU004_00213
