Reference genome	Start	End	Core gene
NC_007530	407	1747	GBAA_RS00015
NC_007530	1926	3065	GBAA_RS00020
NC_007530	3193	3405	GBAA_RS00025
NC_007530	3418	4545	GBAA_RS00030
NC_007530	4584	6506	GBAA_RS00035
NC_007530	6595	9066	GBAA_RS00040
NC_007530	14353	15297	GBAA_RS00070
NC_007530	15468	16931	GBAA_RS00075
NC_007530	17045	18352	GBAA_RS00080
NC_007530	18514	19401	GBAA_RS00085
NC_007530	19420	20010	GBAA_RS00090
NC_007530	20338	21612	GBAA_RS00095
NC_007530	23127	23762	GBAA_RS00115
NC_007530	23888	24427	GBAA_RS00120
NC_007530	24535	25035	GBAA_RS00130
NC_007530	25512	27200	GBAA_RS00135
NC_007530	27223	27552	GBAA_RS00140
NC_007530	27567	28163	GBAA_RS00145
NC_007530	28178	28399	GBAA_RS00150
NC_007530	28614	28883	GBAA_RS00155
NC_007530	34303	34482	GBAA_RS00185
NC_007530	34554	35975	GBAA_RS00190
NC_007530	35977	36603	GBAA_RS00195
NC_007530	36639	37622	GBAA_RS00200
NC_007530	37628	38455	GBAA_RS00205
NC_007530	38470	38820	GBAA_RS00210
NC_007530	38941	39681	GBAA_RS00215
NC_007530	39927	40802	GBAA_RS00225
NC_007530	40823	41107	GBAA_RS00230
NC_007530	41571	43580	GBAA_RS00235
NC_007530	43746	44513	GBAA_RS00240
NC_007530	44728	45285	GBAA_RS00245
NC_007530	45282	46160	GBAA_RS00250
NC_007530	46271	47134	GBAA_RS00255
NC_007530	47373	47633	GBAA_RS00260
NC_007530	47746	47904	GBAA_RS00265
NC_007530	48101	48970	GBAA_RS00270
NC_007530	49996	50370	GBAA_RS00280
NC_007530	50523	50816	GBAA_RS00285
NC_007530	51139	52518	GBAA_RS00290
NC_007530	52537	53490	GBAA_RS00295
NC_007530	53500	54123	GBAA_RS00300
NC_007530	54194	54418	GBAA_RS00305
NC_007530	54524	58054	GBAA_RS00310
NC_007530	58190	58726	GBAA_RS00315
NC_007530	58957	60558	GBAA_RS00320
NC_007530	60571	62031	GBAA_RS00325
NC_007530	62046	62321	GBAA_RS00330
NC_007530	62380	62688	GBAA_RS00335
NC_007530	62685	63338	GBAA_RS00340
